GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds
60536,61383,Ascent,6451,5601,Built By Gamers Academy,Nightblood Gaming,1,13,8
60537,61384,Breeze,5832,6912,Zero MarksMen Black,Bully Hunters,1,13,4
60543,61388,Ascent,6817,6664,ex-FLICKBAITERS,Oni Fans,1,13,9
60544,61389,Haven,6204,6989,Nemesis,Iconic,1,13,9
60613,61445,Ascent,5997,4829,FS Esports ,Team Valor,1,14,13
60614,61445,Haven,5997,4829,FS Esports ,Team Valor,1,13,7
60432,61250,Haven,6144,4455,The Mafia,Third Impact,1,13,11
60433,61250,Icebox,6144,4455,The Mafia,Third Impact,2,7,13
60434,61250,Breeze,6144,4455,The Mafia,Third Impact,1,13,9
60420,61246,Split,6144,6213,The Mafia,Cloud9 Academy,1,13,4
60421,61246,Haven,6144,6213,The Mafia,Cloud9 Academy,1,15,13
60423,61247,Breeze,5444,4455,Bait Academy,Third Impact,2,7,13
60424,61247,Haven,5444,4455,Bait Academy,Third Impact,1,13,10
60425,61247,Split,5444,4455,Bait Academy,Third Impact,2,11,13
60429,61249,Ascent,6451,6478,Built By Gamers Academy,ex-Serenity Black,1,14,12
60430,61249,Icebox,6451,6478,Built By Gamers Academy,ex-Serenity Black,1,13,7
