GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds
58293,51729,Ascent,2350,6198,Soniqs,Knights Academy,1,13,3
58297,51733,Haven,6144,6418,The Mafia,Actually Homeless,1,13,4
58301,51737,Bind,6422,4388,Resonate,Cosmic Divide,1,13,10
58302,51738,Icebox,6675,5039,The Guard,Team Volted,1,13,4
58845,53316,Breeze,4616,5391,UCAM Esports Club,AXIBYTE ESPORTS,1,13,7
58846,53316,Icebox,4616,5391,UCAM Esports Club,AXIBYTE ESPORTS,1,13,3
58848,53318,Haven,6635,6722,GiefKalash,FuelCore,1,13,9
58849,53318,Ascent,6635,6722,GiefKalash,FuelCore,2,9,13
58850,53318,Split,6635,6722,GiefKalash,FuelCore,2,8,13
56989,49964,Breeze,472,3114,BIG,IVY,1,13,5
56990,49964,Ascent,472,3114,BIG,IVY,1,13,10
58844,53313,Bind,5391,6722,AXIBYTE ESPORTS,FuelCore,1,13,7
58629,52406,Fracture,5214,4173,CGN Esports,Ovation eSports,1,13,2
58630,52406,Icebox,5214,4173,CGN Esports,Ovation eSports,1,13,8
57007,49970,Ascent,3114,4960,IVY,unjobbed,1,13,7
57008,49970,Icebox,3114,4960,IVY,unjobbed,2,8,13
57009,49970,Split,3114,4960,IVY,unjobbed,1,13,11
58626,52405,Icebox,472,6797,BIG,SENTHEX,1,13,3
58627,52405,Bind,472,6797,BIG,SENTHEX,1,13,2
58347,51821,Breeze,2908,1184,Thunderbolts Gaming,Futbolist,2,6,13
58348,51821,Icebox,2908,1184,Thunderbolts Gaming,Futbolist,1,13,11
58349,51821,Ascent,2908,1184,Thunderbolts Gaming,Futbolist,2,11,13
58129,51553,Split,2917,910,Enigma Gaming,Exceeli Esports,1,13,9
58130,51553,Haven,2917,910,Enigma Gaming,Exceeli Esports,1,13,11
58364,51826,Icebox,3261,2036,Kafalar eSports,Besiktas Esports,1,13,9
58365,51826,Split,3261,2036,Kafalar eSports,Besiktas Esports,1,13,8
58361,51825,Split,4762,5310,Galakticos,Fenerbahçe Esports,1,13,10
58362,51825,Fracture,4762,5310,Galakticos,Fenerbahçe Esports,2,2,13
58363,51825,Haven,4762,5310,Galakticos,Fenerbahçe Esports,1,15,13
58108,51546,Haven,799,2917,Velocity Gaming,Enigma Gaming,2,5,13
58109,51546,Split,799,2917,Velocity Gaming,Enigma Gaming,1,13,10
58110,51546,Bind,799,2917,Velocity Gaming,Enigma Gaming,1,13,5
58011,51366,Icebox,6490,4036,Nerdnecks,Team Bliss,1,13,7
58012,51366,Ascent,6490,4036,Nerdnecks,Team Bliss,1,13,11
58341,51819,Split,6092,3261,Regnum Carya Esports,Kafalar eSports,1,13,9
58342,51819,Breeze,6092,3261,Regnum Carya Esports,Kafalar eSports,1,14,12
58120,51550,Haven,910,4832,Exceeli Esports,ROG Academy,1,14,12
58121,51550,Icebox,910,4832,Exceeli Esports,ROG Academy,1,13,8
58123,51551,Ascent,4733,6471,True Rippers,S8UL Esports,1,13,3
58124,51551,Haven,4733,6471,True Rippers,S8UL Esports,1,13,5
58236,51675,Bind,6461,1615,Akrew,Knights,1,13,8
58237,51675,Ascent,6461,1615,Akrew,Knights,2,4,13
58238,51675,Breeze,6461,1615,Akrew,Knights,1,14,12
58233,51674,Bind,1615,6090,Knights,TSM Academy,1,13,10
58234,51674,Ascent,1615,6090,Knights,TSM Academy,1,13,3
58218,51669,Icebox,6461,5038,Akrew,YFP Gaming,2,9,13
58219,51669,Bind,6461,5038,Akrew,YFP Gaming,1,13,6
58220,51669,Haven,6461,5038,Akrew,YFP Gaming,1,13,8
58221,51670,Haven,5924,3337,FLICKBAITERS,Team Basilisk,2,11,13
58222,51670,Fracture,5924,3337,FLICKBAITERS,Team Basilisk,1,13,3
58223,51670,Icebox,5924,3337,FLICKBAITERS,Team Basilisk,2,12,14
58338,51817,Breeze,1184,5310,Futbolist,Fenerbahçe Esports,1,13,9
58339,51817,Split,1184,5310,Futbolist,Fenerbahçe Esports,1,13,6
58147,51561,Haven,6139,6264,19esports,Zeta Gaming,1,13,5
58335,51816,Split,4762,2908,Galakticos,Thunderbolts Gaming,2,9,13
58336,51816,Icebox,4762,2908,Galakticos,Thunderbolts Gaming,1,13,10
58337,51816,Ascent,4762,2908,Galakticos,Thunderbolts Gaming,2,9,13
58117,51549,Split,797,6471,God Particles,S8UL Esports,1,13,1
58118,51549,Bind,797,6471,God Particles,S8UL Esports,2,10,13
58119,51549,Ascent,797,6471,God Particles,S8UL Esports,2,10,13
57811,51016,Split,799,4809,Velocity Gaming,Team Exploit,1,13,6
57812,51016,Icebox,799,4809,Velocity Gaming,Team Exploit,1,13,8
58105,51545,Haven,2917,910,Enigma Gaming,Exceeli Esports,1,13,6
58106,51545,Bind,2917,910,Enigma Gaming,Exceeli Esports,1,13,10
58102,51544,Breeze,799,4733,Velocity Gaming,True Rippers,1,13,6
58103,51544,Haven,799,4733,Velocity Gaming,True Rippers,1,13,11
57814,51017,Bind,918,2917,Global Esports,Enigma Gaming,2,3,13
57815,51017,Haven,918,2917,Global Esports,Enigma Gaming,1,13,2
57816,51017,Split,918,2917,Global Esports,Enigma Gaming,1,13,8
58114,51548,Split,4832,6470,ROG Academy,VLT Asteria,2,11,13
58115,51548,Haven,4832,6470,ROG Academy,VLT Asteria,1,13,3
58116,51548,Ascent,4832,6470,ROG Academy,VLT Asteria,1,13,1
58203,51664,Split,3337,6198,Team Basilisk,Knights Academy,1,14,12
58204,51664,Ascent,3337,6198,Team Basilisk,Knights Academy,1,13,10
58206,51665,Split,6204,6451,Nemesis,Built By Gamers Academy,2,5,13
58207,51665,Icebox,6204,6451,Nemesis,Built By Gamers Academy,1,14,12
58208,51665,Ascent,6204,6451,Nemesis,Built By Gamers Academy,1,13,6
58209,51666,Bind,1615,2350,Knights,Soniqs,1,13,8
58210,51666,Ascent,1615,2350,Knights,Soniqs,1,13,6
58212,51667,Bind,6164,5039,Radiance,Team Volted,1,13,10
58213,51667,Breeze,6164,5039,Radiance,Team Volted,1,13,5
58473,51905,Icebox,5038,6020,YFP Gaming,Pho Real,1,13,6
58475,51907,Haven,6461,4529,Akrew,IlluZion,1,13,3
58450,51882,Ascent,4366,4346,Elmerz Glue,DarkZero Esports ,1,13,11
58454,51886,Haven,2228,3322,Dallas Vendetta,Border Monsters,1,13,9
58456,51888,Ascent,6204,5038,Nemesis,YFP Gaming,1,13,9
58431,51863,Haven,6090,4455,TSM Academy,Third Impact,1,13,8
58442,51874,Haven,1267,4529,Cloud9 White ,IlluZion,1,13,1
58138,51558,Ascent,6134,6149,Einheit,Case Esports,1,13,9
58135,51557,Bind,6149,6313,Case Esports,KPI Gaming,1,13,6
57799,51012,Split,624,2532,Paper Rex,Louvre,1,16,14
57800,51012,Icebox,624,2532,Paper Rex,Louvre,1,13,11
58099,51543,Icebox,799,4832,Velocity Gaming,ROG Academy,1,13,0
58100,51543,Haven,799,4832,Velocity Gaming,ROG Academy,1,13,1
57796,51011,Breeze,6387,1110,Bleed eSports,Alter Ego,1,15,13
57797,51011,Bind,6387,1110,Bleed eSports,Alter Ego,2,12,14
57798,51011,Haven,6387,1110,Bleed eSports,Alter Ego,2,4,13
53748,45432,Ascent,3944,6478,Teal Seam,ex-Serenity Black,2,5,13
53749,45432,Icebox,3944,6478,Teal Seam,ex-Serenity Black,1,13,5
53750,45432,Bind,3944,6478,Teal Seam,ex-Serenity Black,2,4,13
53231,43593,Haven,6401,243,FOGUETE,Gamelanders Blue,1,14,12
53232,43593,Split,6401,243,FOGUETE,Gamelanders Blue,1,13,3
53233,43593,Ascent,6401,243,FOGUETE,Gamelanders Blue,2,14,16
53234,43593,Breeze,6401,243,FOGUETE,Gamelanders Blue,1,13,11
57846,51081,Haven,6533,2533,Last Dance,Alliance,2,3,13
57847,51081,Fracture,6533,2533,Last Dance,Alliance,1,13,8
57848,51081,Icebox,6533,2533,Last Dance,Alliance,2,10,13
58171,51081,Bind,6533,2533,Last Dance,Alliance,2,3,13
58093,51541,Split,4733,6470,True Rippers,VLT Asteria,1,13,11
58094,51541,Icebox,4733,6470,True Rippers,VLT Asteria,1,13,5
57605,50799,Split,4915,3996,Natus Vincere,368,1,13,2
58090,51540,Haven,910,6471,Exceeli Esports,S8UL Esports,1,13,5
58091,51540,Bind,910,6471,Exceeli Esports,S8UL Esports,1,15,13
57599,50797,Icebox,4915,3799,Natus Vincere,Moscow Five jr,1,13,9
53742,45430,Split,3944,6451,Teal Seam,Built By Gamers Academy,1,13,5
53743,45430,Icebox,3944,6451,Teal Seam,Built By Gamers Academy,1,13,5
57602,50798,Ascent,3996,5240,368,deathwish,1,13,9
57097,50149,Haven,6312,2373,KOVA,Rix.GG Thunder,1,13,9
57098,50149,Ascent,6312,2373,KOVA,Rix.GG Thunder,1,13,10
57584,50792,Icebox,3114,4915,IVY,Natus Vincere,2,7,13
57585,50792,Split,3114,4915,IVY,Natus Vincere,1,13,11
57586,50792,Bind,3114,4915,IVY,Natus Vincere,1,13,8
57537,50671,Split,6263,5467,Guild X,Oxxgen Esports,1,13,10
57538,50671,Haven,6263,5467,Guild X,Oxxgen Esports,2,11,13
57539,50671,Bind,6263,5467,Guild X,Oxxgen Esports,1,13,11
53733,45427,Split,6451,6045,Built By Gamers Academy,Lenny Time,1,13,3
53734,45427,Bind,6451,6045,Built By Gamers Academy,Lenny Time,2,11,13
53735,45427,Haven,6451,6045,Built By Gamers Academy,Lenny Time,1,14,12
57596,50796,Ascent,5240,6469,deathwish,VCTRY Esports,1,18,16
57578,50790,Split,4915,6469,Natus Vincere,VCTRY Esports,1,13,8
57579,50790,Ascent,4915,6469,Natus Vincere,VCTRY Esports,2,8,13
57580,50790,Bind,4915,6469,Natus Vincere,VCTRY Esports,1,13,5
57095,50147,Haven,4616,6312,UCAM Esports Club,KOVA,1,13,9
58081,50147,Ascent,4616,6312,UCAM Esports Club,KOVA,1,13,11
57569,50787,Ascent,3996,6466,368,Redragon,2,5,13
57570,50787,Split,3996,6466,368,Redragon,1,13,10
57571,50787,Icebox,3996,6466,368,Redragon,1,14,12
57834,51077,Haven,6533,6601,Last Dance,New World,1,13,9
57835,51077,Fracture,6533,6601,Last Dance,New World,1,13,6
57805,51014,Ascent,4809,910,Team Exploit,Exceeli Esports,1,13,3
57806,51014,Split,4809,910,Team Exploit,Exceeli Esports,1,13,4
58074,51519,Bind,388,2151,DivisionX Gaming,Kantic Gaming,1,13,4
58075,51519,Ascent,388,2151,DivisionX Gaming,Kantic Gaming,1,13,1
57092,50146,Haven,6312,2373,KOVA,Rix.GG Thunder,1,13,7
57093,50146,Ascent,6312,2373,KOVA,Rix.GG Thunder,2,5,13
57094,50146,Split,6312,2373,KOVA,Rix.GG Thunder,1,13,9
57534,50670,Icebox,5467,6024,Oxxgen Esports,TENSTAR Nova,1,13,10
57535,50670,Split,5467,6024,Oxxgen Esports,TENSTAR Nova,2,6,13
57536,50670,Ascent,5467,6024,Oxxgen Esports,TENSTAR Nova,1,13,6
57089,50145,Icebox,5391,4616,AXIBYTE ESPORTS,UCAM Esports Club,1,13,7
57090,50145,Breeze,5391,4616,AXIBYTE ESPORTS,UCAM Esports Club,2,4,13
57091,50145,Fracture,5391,4616,AXIBYTE ESPORTS,UCAM Esports Club,2,11,13
56640,49635,Icebox,466,624,BOOM Esports,Paper Rex,1,13,9
