No,GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_Eco,Team1_SemiEco,Team1_SemiBuy,Team1_FullBuy,Team1_TotalRounds,Team2_Eco,Team2_SemiEco,Team2_SemiBuy,Team2_FullBuy,Team2_TotalRounds
14739,3101,2124,Bind,3,377,Ninjas in Pyjamas,bonk,1,2.0,0.0,4.0,10.0,13,4.0,2.0,2.0,8.0,3
14740,3102,2124,Haven,3,377,Ninjas in Pyjamas,bonk,2,3.0,3.0,5.0,7.0,5,3.0,0.0,4.0,11.0,13
14741,3070,2101,Haven,632,106,Dignitas,TSM,1,4.0,1.0,2.0,19.0,14,2.0,3.0,6.0,15.0,12
14742,3071,2101,Bind,632,106,Dignitas,TSM,2,3.0,1.0,3.0,9.0,3,2.0,0.0,3.0,11.0,13
14743,3072,2101,Ascent,632,106,Dignitas,TSM,1,2.0,1.0,6.0,11.0,13,4.0,2.0,1.0,13.0,7
14744,3088,2120,Bind,628,681,FunPlus Phoenix,SKADE,1,2.0,0.0,3.0,9.0,13,3.0,1.0,5.0,5.0,1
14745,3089,2120,Haven,628,681,FunPlus Phoenix,SKADE,1,2.0,1.0,3.0,12.0,13,4.0,1.0,5.0,8.0,5
14746,3091,2121,Ascent,257,529,G2 Esports,Rix.GG,1,2.0,1.0,5.0,13.0,13,5.0,1.0,1.0,14.0,8
14747,3092,2121,Bind,257,529,G2 Esports,Rix.GG,1,2.0,0.0,2.0,11.0,13,4.0,3.0,1.0,7.0,2
14748,3094,2122,Split,377,655,bonk,Project SW,1,3.0,1.0,5.0,12.0,13,3.0,3.0,4.0,11.0,8
14749,3095,2122,Haven,377,655,bonk,Project SW,1,3.0,0.0,2.0,12.0,13,3.0,0.0,7.0,7.0,4
14750,3097,2123,Bind,3,472,Ninjas in Pyjamas,BIG,1,2.0,2.0,0.0,9.0,13,3.0,3.0,1.0,6.0,0
