No,MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
1373,42681,2021-09-25 21:00:00,Patch 3.06,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 5,4550,6274,NOTHING2LOSE,NMG Indigo,2,0
1374,42682,2021-09-25 21:00:00,Patch 3.06,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 5,5587,6281,Nerd Emoji,Wanderlust,1,2
1375,42685,2021-09-25 21:00:00,Patch 3.06,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 5,4560,6276,Unbind Crouch,Lycus Empire Red,2,1
1376,42643,2021-09-25 18:05:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 4,4924,4550,24Haven,NOTHING2LOSE,2,0
1377,42647,2021-09-25 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 4,6294,6281,VersionX,Wanderlust,2,1
1378,42650,2021-09-25 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 4,3545,4560,CLG Red,Unbind Crouch,2,0
1379,42652,2021-09-25 18:00:00,Patch 3.05,658,Champions Tour Game Changers Series III: North America,Swiss Stage: Round 4,6273,6200,Polaris,Complexity GX3,2,1
1380,42217,2021-09-25 15:20:00,Patch 3.06,681,Kingdom Calling #4,Playoffs: Grand Final,472,324,BIG,Wave Esports,2,0
1383,40482,2021-09-25 12:00:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Grand Finals,1471,1466,Team RA'AD,Anubis Gaming,1,3
1384,42216,2021-09-25 12:00:00,Patch 3.06,681,Kingdom Calling #4,Playoffs: Consolation Final,4173,5214,Ovation eSports,CGN Esports,2,1
1385,29642,2021-09-25 11:00:00,,626,K&H Magyar Nemzeti E-sport Bajnokság #3,Playoffs: Consolation Final,3861,2313,Békéscsabai E-sport Egyesület,Lenovo Legion Honvéd,3,2
