No,MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
0,62393,2022-01-08 15:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Decider (A),6903,6020,Booster Seat Gaming,Pho Real,2,1
1,62403,2022-01-08 15:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Decider (C),7046,7047,Bjor's Kittens,Mugiwara,2,0
2,62391,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Winner's (A),6461,6903,Akrew,Booster Seat Gaming,2,1
3,62396,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Winner's (B),6164,7043,Radiance,sameROFLMAO,2,0
5,62402,2022-01-08 12:30:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Elimination (C),7047,3545,Mugiwara,CLG Red,2,0
6,62355,2022-01-08 10:30:00,Patch 3.12,843,The Esports Club Gauntlet - Season 4,Group Stage: Group A,4733,4680,True Rippers,T69,2,0
7,62389,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (A),6461,7042,Akrew,Squishy and Friends,2,0
8,62390,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (A),6903,6020,Booster Seat Gaming,Pho Real,2,0
9,62394,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (B),6164,7044,Radiance,Brolympics eSports,2,0
11,62399,2022-01-08 10:00:00,Patch 3.12,826,Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,Group Stage: Opening (C),7045,7047,Salt and Vinegar,Mugiwara,2,0
13,62173,2022-01-08 07:00:00,,838,Gamers Galaxy Valorant,Main Event: Semifinals,6384,4807,Clarity Esports,Team Arrow,2,0
14,62354,2022-01-08 05:30:00,Patch 3.12,843,The Esports Club Gauntlet - Season 4,Group Stage: Group A,4829,5997,Team Valor,FS Esports ,2,1
16,62172,2022-01-08 03:30:00,,838,Gamers Galaxy Valorant,Main Event: Semifinals,4809,6477,Team Exploit,Fear Legends,2,0
17,62071,2022-01-08 03:00:00,,769,SEA Esports Championship 2021,Group Stage: Group A,6799,6982,Goodfellas Gaming,Nine Esport,2,0
18,62085,2022-01-07 07:40:00,,769,SEA Esports Championship 2021,Group Stage: Group D,4150,623,South Built Esports,Sharper Esport,1,1
19,62082,2022-01-07 05:45:00,,769,SEA Esports Championship 2021,Group Stage: Group C,6389,6844,Bren Esports,shiba n the homies,1,1
20,62076,2022-01-07 04:25:00,,769,SEA Esports Championship 2021,Group Stage: Group B,4325,6807,CERBERUS Esports,W Key,2,0
21,62084,2022-01-06 08:25:00,,769,SEA Esports Championship 2021,Group Stage: Group D,4150,388,South Built Esports,DivisionX Gaming,1,1
22,62069,2022-01-06 03:00:00,,769,SEA Esports Championship 2021,Group Stage: Group A,466,6799,BOOM Esports,Goodfellas Gaming,2,0
23,61811,2022-01-04 23:25:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Grand Final,642,6817,Luminosity,ex-FLICKBAITERS,2,1
24,61809,2022-01-04 20:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Semifinals,468,642,Renegades,Luminosity,1,2
25,61810,2022-01-04 20:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Semifinals,6817,6198,ex-FLICKBAITERS,Knights Academy,2,1
26,61805,2022-01-04 17:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Quarterfinals,6164,468,Radiance,Renegades,1,2
28,61807,2022-01-04 17:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Quarterfinals,6817,4455,ex-FLICKBAITERS,Third Impact,2,1
29,51964,2022-01-04 12:00:00,Patch 3.10,768,ESTAZ Valorant Elite League,Playoffs: Grand Final,1470,1471,NASR Esports,Team RA'AD,3,1
30,61797,2022-01-03 21:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Round of 16,6164,6856,Radiance,Icarus,2,0
31,61798,2022-01-03 21:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Round of 16,3337,468,Team Basilisk,Renegades,1,2
32,61799,2022-01-03 21:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Round of 16,1615,6045,Knights,Lenny Time,2,0
33,61800,2022-01-03 21:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Round of 16,642,6020,Luminosity,Pho Real,2,0
34,61801,2022-01-03 21:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Round of 16,6817,6707,ex-FLICKBAITERS,Gifted,2,0
35,61804,2022-01-03 21:15:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Playoffs: Round of 16,6198,6213,Knights Academy,Cloud9 Academy,2,0
36,61936,2022-01-03 20:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 3,642,6707,Luminosity,Gifted,1,0
37,61942,2022-01-03 20:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 3,1615,6986,Knights,Ex-Dallas Vendetta,1,0
40,61947,2022-01-03 20:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 3,6817,6020,ex-FLICKBAITERS,Pho Real,1,0
41,61949,2022-01-03 20:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 3,6198,6934,Knights Academy,Minaweebs Money Crew,1,0
42,61922,2022-01-03 19:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 2,6164,6045,Radiance,Lenny Time,1,0
43,61923,2022-01-03 19:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 2,3337,5444,Team Basilisk,Bait Academy,1,0
45,61931,2022-01-03 19:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 2,6817,5038,ex-FLICKBAITERS,YFP Gaming,1,0
46,61933,2022-01-03 19:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 2,6198,4455,Knights Academy,Third Impact,1,0
49,61917,2022-01-03 18:00:00,Patch 3.12,825,Nerd Street Gamers Winter Championship - Open 12,Group Stage: Round 1,6198,6848,Knights Academy,Hugh Jass Construction,1,0
50,61407,2021-12-30 21:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Grand Final,6461,6817,Akrew,ex-FLICKBAITERS,2,0
51,61408,2021-12-30 21:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Consolation Final ,6204,2348,Nemesis,VIRTUOSO,2,1
52,61405,2021-12-30 18:30:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Semifinals,6461,6204,Akrew,Nemesis,2,0
53,61401,2021-12-30 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Quarterfinals,6461,6213,Akrew,Cloud9 Academy,2,0
54,61403,2021-12-30 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Quarterfinals,6164,2348,Radiance,VIRTUOSO,1,2
55,61397,2021-12-29 21:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Round of 16,6164,6651,Radiance,ex-Limit,2,0
57,61396,2021-12-29 20:30:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Round of 16,5832,6204,Zero MarksMen Black,Nemesis,1,2
59,61394,2021-12-29 20:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Round of 16,6213,6992,Cloud9 Academy,CLB,2,0
60,61400,2021-12-29 19:45:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Playoffs: Round of 16,6817,6451,ex-FLICKBAITERS,Built By Gamers Academy,2,0
62,61372,2021-12-29 18:15:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,6148,6707,Project A,Gifted,2,0
63,61377,2021-12-29 18:15:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,2139,4647,303 Esports,Thanos Mug Academy(CoT),1,2
65,61362,2021-12-29 18:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,2378,6991,SUPER SQUAD,Rose,2,0
66,61367,2021-12-29 18:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,6990,3748,LFTval,Team Reckaroo,1,2
67,61382,2021-12-29 18:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,6992,6782,CLB,Up Next,2,0
68,61387,2021-12-29 18:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,6451,6912,Built By Gamers Academy,Bully Hunters,2,0
69,61392,2021-12-29 18:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Decider,6204,6989,Nemesis,Iconic,2,0
70,61355,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Winner's,6461,4529,Akrew,IlluZion,1,0
71,61360,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Winner's,6164,2378,Radiance,SUPER SQUAD,1,0
72,61361,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Elimination,6991,6388,Rose,ValorsGG,1,0
73,61370,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Winner's,5444,6148,Bait Academy,Project A,1,0
74,61375,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Winner's,6213,2139,Cloud9 Academy,303 Esports,1,0
75,61380,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Winner's,2348,6992,VIRTUOSO,CLB,1,0
77,61390,2021-12-29 17:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Winner's,6817,6204,ex-FLICKBAITERS,Nemesis,1,0
78,61353,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6461,6679,Akrew,Disciples ,1,0
79,61354,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,4529,6651,IlluZion,ex-Limit,1,0
81,61359,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,2378,6388,SUPER SQUAD,ValorsGG,1,0
82,61368,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,5444,5457,Bait Academy,Valkyrie,1,0
83,61369,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6148,6707,Project A,Gifted,1,0
84,61373,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6213,6848,Cloud9 Academy,Hugh Jass Construction,1,0
86,61379,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6992,6986,CLB,Ex-Dallas Vendetta,1,0
87,61383,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6451,5601,Built By Gamers Academy,Nightblood Gaming,1,0
88,61384,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,5832,6912,Zero MarksMen Black,Bully Hunters,1,0
89,61388,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6817,6664,ex-FLICKBAITERS,Oni Fans,1,0
90,61389,2021-12-29 16:00:00,Patch 3.12,819,Knights Monthly Gauntlet: December,Group Stage: Opening,6204,6989,Nemesis,Iconic,1,0
91,61445,2021-12-29 07:30:00,Patch 3.12,821,Asus ROG Showdown Series,Playoffs: Semi Final,5997,4829,FS Esports ,Team Valor,2,0
92,61250,2021-12-28 19:35:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Semifinals,6144,4455,The Mafia,Third Impact,2,1
93,61246,2021-12-28 17:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Quarterfinals,6144,6213,The Mafia,Cloud9 Academy,2,0
94,61247,2021-12-28 17:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Quarterfinals,5444,4455,Bait Academy,Third Impact,1,2
96,61249,2021-12-28 17:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Quarterfinals,6451,6478,Built By Gamers Academy,ex-Serenity Black,2,0
97,61290,2021-12-28 07:00:00,Patch 3.12,812,Road to VCT 2022,Round 1: Grand Final,4330,6776,Fancy United Esports,The Meaps,2,0
100,61241,2021-12-27 21:15:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Round of 16,2348,4455,VIRTUOSO,Third Impact,1,2
102,61244,2021-12-27 21:15:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Round of 16,6451,6417,Built By Gamers Academy,Fluid Gaming,2,0
103,61245,2021-12-27 21:15:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Playoffs: Round of 16,6478,6045,ex-Serenity Black,Lenny Time,2,0
104,61337,2021-12-27 20:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 3,6144,6388,The Mafia,ValorsGG,1,0
105,61343,2021-12-27 20:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 3,6213,2139,Cloud9 Academy,303 Esports,1,0
106,61344,2021-12-27 20:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 3,6451,6707,Built By Gamers Academy,Gifted,1,0
107,61328,2021-12-27 19:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 2,6451,4455,Built By Gamers Academy,Third Impact,1,0
108,61333,2021-12-27 19:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 2,2348,6651,VIRTUOSO,ex-Limit,1,0
109,61307,2021-12-27 18:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 1,5832,5482,Zero MarksMen Black,Kowareta,1,0
110,61308,2021-12-27 18:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 1,6986,5038,Ex-Dallas Vendetta,YFP Gaming,1,0
111,61311,2021-12-27 18:00:00,Patch 3.12,818,Nerd Street Gamers Winter Championship - Open 11,Group Stage: Round 1,6148,6213,Project A,Cloud9 Academy,1,0
114,61288,2021-12-27 09:00:00,Patch 3.12,812,Road to VCT 2022,Round 1: Semifinals,4330,4324,Fancy United Esports,FEARUS,2,0
115,61289,2021-12-27 09:00:00,Patch 3.12,812,Road to VCT 2022,Round 1: Semifinals,6776,4860,The Meaps,DOMINUS,2,0
116,61412,2021-12-26 20:00:00,Patch 3.12,820,Valorant Reflex Tournament EP02,Playoffs: Grand Finals,1471,6994,Team RA'AD,wafflemakers,2,1
117,61413,2021-12-26 20:00:00,Patch 3.12,820,Valorant Reflex Tournament EP02,Playoffs: Consolation Finals,6085,6993,3BL Esports,Dark Tempest,2,0
120,61047,2021-12-26 08:00:00,Patch 3.12,812,Road to VCT 2022,Round 1: Quarterfinals,6776,6970,The Meaps,Take It Easy,2,1
121,58500,2021-12-26 07:30:00,,786,LogitechG x Loco Invitational,Playoffs: Grand Final,918,879,Global Esports,Todak,3,0
122,61046,2021-12-26 03:00:00,Patch 3.12,812,Road to VCT 2022,Round 1: Quarterfinals,4324,6967,FEARUS,Homies Nexus,2,0
123,60970,2021-12-25 10:30:00,Patch 3.12,809,Open Fire Legacy,Playoffs: Semifinals,6534,2908,Fire Flux Young,Thunderbolts Gaming,3,2
125,60968,2021-12-23 13:00:00,Patch 3.12,809,Open Fire Legacy,Playoffs: Quarterfinals,2908,6392,Thunderbolts Gaming,Eternal Fire,2,1
126,60967,2021-12-23 10:30:00,Patch 3.12,809,Open Fire Legacy,Playoffs: Quarterfinals,4696,6092,Surreal Esports,Regnum Carya Esports,2,0
127,56828,2021-12-23 07:30:00,Patch 3.10,784,The Esports Club - Challenger Series 6,Playoffs: Lower Final,5366,6899,Action PH,Fallen5,2,0
128,60860,2021-12-22 14:30:00,,809,Open Fire Legacy,Group Stage: Group A,4696,1453,Surreal Esports,OtherSide,1,0
129,60859,2021-12-22 13:30:00,,809,Open Fire Legacy,Group Stage: Group A,6534,4762,Fire Flux Young,Galakticos,1,0
130,60856,2021-12-22 09:30:00,,809,Open Fire Legacy,Group Stage: Group B,2908,5310,Thunderbolts Gaming,Fenerbahçe Esports,1,0
131,60659,2021-12-21 19:30:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Semifinals,6090,4940,TSM Academy,Pioneers,2,1
132,60660,2021-12-21 19:30:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Semifinals,6164,468,Radiance,Renegades,2,0
133,60655,2021-12-21 17:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Quarterfinals,6090,2350,TSM Academy,Soniqs,2,0
134,60657,2021-12-21 17:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Quarterfinals,6164,6451,Radiance,Built By Gamers Academy,2,0
135,60658,2021-12-21 17:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Quarterfinals,468,2348,Renegades,VIRTUOSO,2,0
137,60711,2021-12-21 09:30:00,,809,Open Fire Legacy,Group Stage: Group B,2036,5310,Besiktas Esports,Fenerbahçe Esports,1,0
138,56826,2021-12-21 06:30:00,Patch 3.10,784,The Esports Club - Challenger Series 6,Playoffs: Lower Round 2,3652,6899,Morph Impact,Fallen5,1,2
139,60647,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,6090,3748,TSM Academy,Team Reckaroo,2,1
140,60648,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,6817,2350,ex-FLICKBAITERS,Soniqs,1,2
141,60649,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,6795,6653,Betrayed's Fantasy Team,GunsForHire,2,0
142,60650,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,4940,6651,Pioneers,ex-Limit,2,0
143,60651,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,6164,2139,Radiance,303 Esports,2,0
145,60653,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,468,6020,Renegades,Pho Real,2,0
146,60654,2021-12-20 21:20:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Playoffs: Round of 16,6148,2348,Project A,VIRTUOSO,1,2
147,60777,2021-12-20 20:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Group Stage: Round 3,4940,6213,Pioneers,Cloud9 Academy,1,0
148,60778,2021-12-20 20:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Group Stage: Round 3,6451,5482,Built By Gamers Academy,Kowareta,1,0
149,60779,2021-12-20 20:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Group Stage: Round 3,2350,6664,Soniqs,Oni Fans,1,0
150,60762,2021-12-20 19:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Group Stage: Round 2,6451,2350,Built By Gamers Academy,Soniqs,1,0
151,60771,2021-12-20 19:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Group Stage: Round 2,468,6045,Renegades,Lenny Time,1,0
152,60744,2021-12-20 18:00:00,Patch 3.12,811,Nerd Street Gamers Winter Championship - Open 10,Group Stage: Round 1,6653,6213,GunsForHire,Cloud9 Academy,1,0
155,60710,2021-12-20 14:30:00,,809,Open Fire Legacy,Group Stage: Group A,4696,4762,Surreal Esports,Galakticos,1,0
156,60708,2021-12-20 12:30:00,,809,Open Fire Legacy,Group Stage: Group A,3261,1453,Kafalar eSports,OtherSide,1,0
157,60707,2021-12-20 11:15:00,,809,Open Fire Legacy,Group Stage: Group A,6534,4696,Fire Flux Young,Surreal Esports,1,0
160,60329,2021-12-19 15:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Playoffs: Semifinals,2350,6907,Soniqs,On The Way,1,2
161,60480,2021-12-19 14:30:00,Patch 3.12,809,Open Fire Legacy,Group Stage: Group B,5310,6779,Fenerbahçe Esports,Team Demiral Esports,1,0
163,60197,2021-12-19 12:00:00,Patch 3.12,742,PLE.GG Valorant Nations Circuit Season 2,Playoffs: Grand Final,6212,3029,Activat3D Esports,Invicta Gaming,1,3
164,60328,2021-12-19 12:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Playoffs: Semifinals,6903,6911,Booster Seat Gaming,Team NAME,2,0
165,60477,2021-12-19 11:30:00,Patch 3.12,809,Open Fire Legacy,Group Stage: Group B,6092,5310,Regnum Carya Esports,Fenerbahçe Esports,1,0
166,60476,2021-12-19 10:30:00,Patch 3.12,809,Open Fire Legacy,Group Stage: Group B,1184,2036,Futbolist,Besiktas Esports,1,0
167,60461,2021-12-19 10:00:00,Patch 3.12,808,Average Jonas Winter Nations Cup,Playoffs: Grand Final,6635,6878,GiefKalash,GOODFOR1 ,2,0
169,56824,2021-12-19 06:45:00,Patch 3.10,784,The Esports Club - Challenger Series 6,Playoffs: Lower Round 1,6899,5997,Fallen5,FS Esports ,2,0
170,56823,2021-12-19 02:30:00,Patch 3.10,784,The Esports Club - Challenger Series 6,Playoffs: Lower Round 1,4809,918,Team Exploit,Global Esports,1,2
172,60383,2021-12-18 23:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Playoffs: Round of 16,6934,6931,Minaweebs Money Crew,RANK G,2,1
173,60385,2021-12-18 23:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Playoffs: Round of 16,6478,6928,ex-Serenity Black,swag and friends,2,0
174,60387,2021-12-18 23:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Playoffs: Round of 16,5832,3748,Zero MarksMen Black,Team Reckaroo,2,0
176,60384,2021-12-18 21:15:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Playoffs: Round of 16,6917,6915,Mustache Men,FragHunters,2,0
177,60386,2021-12-18 20:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Playoffs: Round of 16,6914,6918,Vietnamese Curry,Rice Burrito,2,0
178,60324,2021-12-18 18:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Playoffs: Quarterfinals,6903,6905,Booster Seat Gaming,Bad Boy Crew,2,1
179,60325,2021-12-18 18:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Playoffs: Quarterfinals,6911,6908,Team NAME,Jays Finest,2,0
181,60327,2021-12-18 18:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Playoffs: Quarterfinals,6907,6910,On The Way,Juul Team 6,2,0
182,60354,2021-12-18 17:15:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Group Stage: Round 2,6926,6937,Froggers,TikTok Baddies,1,0
183,60318,2021-12-18 16:10:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 3,2350,6314,Soniqs,XSET Female,2,0
184,60350,2021-12-18 16:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Group Stage: Round 1,6478,4837,ex-Serenity Black,Shopify Rebellion,1,0
186,60319,2021-12-18 15:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 3,6905,6906,Bad Boy Crew,Yellow Submarines,2,0
187,60320,2021-12-18 15:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 3,6907,6908,On The Way,Jays Finest,2,0
188,60321,2021-12-18 15:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 3,6909,1267,Showstoppers,Cloud9 White ,2,1
189,60322,2021-12-18 15:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 3,6910,6913,Juul Team 6,The Unfortunate Five,2,0
190,60347,2021-12-18 15:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Group Stage: Round 1,6924,6922,Just happy to be here,Anime Super Soldiers,1,0
191,60348,2021-12-18 15:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Group Stage: Round 1,6926,6928,Froggers,swag and friends,1,0
192,60349,2021-12-18 15:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Group Stage: Round 1,6927,6937,Stim Beacon Boyz,TikTok Baddies,1,0
193,60395,2021-12-18 15:00:00,Patch 3.12,806,Frag Valorant Major - Fullerton,Group Stage: Round 3,6914,6915,Vietnamese Curry,FragHunters,1,0
194,60484,2021-12-18 15:00:00,,788,Kingdom Calling #6,Playoffs: Grand Final,472,4173,BIG,Ovation eSports,2,0
195,60314,2021-12-18 13:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 2,6910,6912,Juul Team 6,Bully Hunters,2,0
196,60315,2021-12-18 13:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 2,6911,6913,Team NAME,The Unfortunate Five,2,0
197,60309,2021-12-18 13:15:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 2,6904,6903,Zero MarksMen Silver,Booster Seat Gaming,1,2
198,60473,2021-12-18 13:10:00,Patch 3.12,809,Open Fire Legacy,Group Stage: Group A,6534,1453,Fire Flux Young,OtherSide,1,0
200,60310,2021-12-18 12:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 2,2350,6905,Soniqs,Bad Boy Crew,2,1
201,60312,2021-12-18 12:30:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 2,6907,6909,On The Way,Showstoppers,2,0
202,60195,2021-12-18 12:00:00,Patch 3.12,742,PLE.GG Valorant Nations Circuit Season 2,Playoffs: Semifinals,4538,6212,Team Queso,Activat3D Esports,1,2
203,60483,2021-12-18 12:00:00,,788,Kingdom Calling #6,Playoffs: Bronze Final,6211,5214,cowana Gaming,CGN Esports,1,2
204,60471,2021-12-18 11:15:00,Patch 3.12,809,Open Fire Legacy,Group Stage: Group A,6534,3261,Fire Flux Young,Kafalar eSports,1,0
206,60470,2021-12-18 10:30:00,Patch 3.12,809,Open Fire Legacy,Group Stage: Group A,4696,6392,Surreal Esports,Eternal Fire,1,0
207,60300,2021-12-18 10:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 1,4975,6904,Sewercats,Zero MarksMen Silver,1,2
209,60304,2021-12-18 10:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 1,6907,1267,On The Way,Cloud9 White ,2,0
210,60305,2021-12-18 10:00:00,Patch 3.12,805,Frag Valorant Major - Philadelphia,Group Stage: Round 1,6908,6909,Jays Finest,Showstoppers,2,0
